File,Sum of electronic and zero-point Energies,Sum of electronic and thermal Energies,Sum of electronic and thermal Enthalpies,Sum of electronic and thermal Free Energies
p7abs.log,-343.670194,-343.662845,-343.661901,-343.702604
P8abs.log,-343.727839,-343.719941,-343.718997,-343.760814
P9abs.log,-343.719633,-343.711796,-343.710852,-343.752611
p1add.log,-420.154260,-420.145558,-420.144614,-420.188564
p2add.log,-420.163303,-420.154946,-420.154002,-420.197424
p3add.log,-420.154260,-420.145558,-420.144614,-420.188564
p4add.log,-420.157970,-420.149126,-420.148181,-420.192866
P5add.log,-420.154260,-420.145558,-420.144614,-420.188564
P6add.log,-420.154260,-420.145558,-420.144614,-420.188564
h2Oproduct.out,-76.399268,-76.396432,-76.395488,-76.416902
ethyl_propiolate_non_planar_2_m062x.log,-344.376493,-344.369025,-344.368080,-344.408314
OH-radical_m062.out,-75.717961,-75.715601,-75.714657,-75.734882
ts7abs.log,-420.066358,-420.056042,-420.055097,-420.104007
ts8abs.log,-420.092082,-420.082232,-420.081288,-420.128612
ts9abs.log,-420.093564,-420.084365,-420.083421,-420.129077
ts1add.log,-420.090423,-420.080791,-420.079847,-420.126269
ts2add.log,-420.092930,-420.083378,-420.082434,-420.129582
ts3add.log,-420.090005,-420.080302,-420.079358,-420.126112
ts4add.log,-420.092494,-420.082832,-420.081888,-420.129422
ts5add.log,-420.090423,-420.080791,-420.079847,-420.126269
ts6add.log,-420.090362,-420.080532,-420.079588,-420.127127
